slug,coach,coach_id,ending,total_games,total_wins,total_losses,start_rating,end_rating,improvement,top,bottom,middle,last_improvement
smartke01c|10|11|GSW,Keith Smart,smartke01c,interim only,82.0,36.0,46.0,1438.4199,1489.9259,51.506,1489.9259,1385.6989,1430.16445,51.506
jacksma01c|11|14|GSW,Mark Jackson,jacksma01c,fired,230.0,121.0,109.0,1469.1144,1617.6373,148.5229,1649.4917,1392.0983,1530.3954,42.7396
kerrst01c|14|17|GSW,Steve Kerr,kerrst01c,,275.0,230.0,45.0,1602.8633,1777.11240156,174.24910156,1838.61741432,1602.8633,1758.76551509,25.29338583
tomjaru01c|00|03|HOU,Rudy Tomjanovich,tomjaru01c,resigned,246.0,116.0,130.0,1482.2604,1540.6249,58.3645,1604.0952,1373.0454,1508.2622,138.5154
vanguje99c|03|07|HOU,Jeff Van Gundy,vanguje99c,fired,328.0,182.0,146.0,1535.6351,1596.2819,60.6468,1669.1071,1441.644,1560.2113,133.3056
adelmri01c|07|11|HOU,Rick Adelman,adelmri01c,fired,328.0,193.0,135.0,1561.2305,1571.1471,9.9166,1697.241,1454.8855,1577.9425,68.5502
mchalke01c|11|15|HOU,Kevin McHale,mchalke01c,fired,323.0,193.0,130.0,1548.7574,1512.93098247,-35.82641753,1676.4716,1483.4855,1588.9753,-69.50632892
bickejb01c|15|16|HOU,J.B. Bickerstaff,bickejb01c,interim only,71.0,37.0,34.0,1517.44760343,1550.27515671,32.82755328,1559.53543372,1487.17435595,1526.99654327,32.82755328
dantomi01c|16|17|HOU,Mike D'Antoni,dantomi01c,,108.0,77.0,31.0,1517.27842619,1687.51893941,170.24051322,1687.51893941,1517.27842619,1620.39405089,104.2608208
thomais01c|00|03|IND,Isiah Thomas,thomais01c,fired,246.0,131.0,115.0,1606.1388,1533.8625,-72.2763,1624.8798,1441.4006,1518.2151,18.5814
carliri01c|03|07|IND,Rick Carlisle,carliri01c,fired,328.0,181.0,147.0,1511.5427,1397.8494,-113.6933,1661.004,1397.8494,1529.7913,-102.5969
obrieji99c|07|11|IND,Jim O'Brien,obrieji99c,fired,290.0,121.0,169.0,1431.7247,1451.2024,19.4777,1539.7653,1366.7872,1452.9039,-36.1521
vogelfr99c|11|16|IND,Frank Vogel,vogelfr99c,fired,431.0,250.0,181.0,1455.615,1519.04923454,63.43423454,1697.2277,1421.538,1542.825,19.83697968
mcmilna01c|16|17|IND,Nate McMillan,mcmilna01c,,110.0,58.0,52.0,1538.7778637,1544.14921299,5.37134929,1555.23557667,1457.46978324,1501.65215076,37.18827532
gentral99c|00|03|LAC,Alvin Gentry,gentral99c,fired,222.0,89.0,133.0,1274.9213,1378.1304,103.2091,1550.4835,1266.0042,1456.8174,-104.2068
