franchise,team,year,coaches_text,coach,coach_id,wins,losses,games,order
SAC,SAC,2009,"R. Theus (6-18), K. Natt (11-47)",R. Theus,theusre01c,6,18,24,1
SAC,SAC,2008,R. Theus (38-44),R. Theus,theusre01c,38,44,82,1
SAC,SAC,2007,E. Musselman (33-49),E. Musselman,musseer99c,33,49,82,1
SAC,SAC,2006,R. Adelman (44-38),R. Adelman,adelmri01c,44,38,82,1
SAC,SAC,2005,R. Adelman (50-32),R. Adelman,adelmri01c,50,32,82,1
SAC,SAC,2004,R. Adelman (55-27),R. Adelman,adelmri01c,55,27,82,1
SAC,SAC,2003,R. Adelman (59-23),R. Adelman,adelmri01c,59,23,82,1
SAC,SAC,2002,R. Adelman (61-21),R. Adelman,adelmri01c,61,21,82,1
SAC,SAC,2001,R. Adelman (55-27),R. Adelman,adelmri01c,55,27,82,1
SAS,SAS,2018,G. Popovich (19-9),G. Popovich,popovgr99c,19,9,28,1
SAS,SAS,2017,G. Popovich (61-21),G. Popovich,popovgr99c,61,21,82,1
SAS,SAS,2016,G. Popovich (67-15),G. Popovich,popovgr99c,67,15,82,1
SAS,SAS,2015,G. Popovich (55-27),G. Popovich,popovgr99c,55,27,82,1
SAS,SAS,2014,G. Popovich (62-20),G. Popovich,popovgr99c,62,20,82,1
SAS,SAS,2013,G. Popovich (58-24),G. Popovich,popovgr99c,58,24,82,1
SAS,SAS,2012,G. Popovich (50-16),G. Popovich,popovgr99c,50,16,66,1
SAS,SAS,2011,G. Popovich (61-21),G. Popovich,popovgr99c,61,21,82,1
SAS,SAS,2010,G. Popovich (50-32),G. Popovich,popovgr99c,50,32,82,1
SAS,SAS,2009,G. Popovich (54-28),G. Popovich,popovgr99c,54,28,82,1
SAS,SAS,2008,G. Popovich (56-26),G. Popovich,popovgr99c,56,26,82,1
SAS,SAS,2007,G. Popovich (58-24),G. Popovich,popovgr99c,58,24,82,1
SAS,SAS,2006,G. Popovich (63-19),G. Popovich,popovgr99c,63,19,82,1
SAS,SAS,2005,G. Popovich (59-23),G. Popovich,popovgr99c,59,23,82,1
SAS,SAS,2004,G. Popovich (57-25),G. Popovich,popovgr99c,57,25,82,1
SAS,SAS,2003,G. Popovich (60-22),G. Popovich,popovgr99c,60,22,82,1
SAS,SAS,2002,G. Popovich (58-24),G. Popovich,popovgr99c,58,24,82,1
SAS,SAS,2001,G. Popovich (58-24),G. Popovich,popovgr99c,58,24,82,1
TOR,TOR,2018,D. Casey (18-8),D. Casey,caseydw99c,18,8,26,1
TOR,TOR,2017,D. Casey (51-31),D. Casey,caseydw99c,51,31,82,1
TOR,TOR,2016,D. Casey (56-26),D. Casey,caseydw99c,56,26,82,1
TOR,TOR,2015,D. Casey (49-33),D. Casey,caseydw99c,49,33,82,1
TOR,TOR,2014,D. Casey (48-34),D. Casey,caseydw99c,48,34,82,1
