slug,coach,coach_id,franchise,seasons,games,wins,losses,min_date,max_date,left_truncated
scottby01c|00|04|NJNBRK,Byron Scott,scottby01c,NJNBRK,4,288,149,139,2000-10-31,2004-01-25,True
frankla99c|04|09|NJNBRK,Lawrence Frank,frankla99c,NJNBRK,7,466,225,241,2004-01-27,2009-11-27,False
barrito99c|09|09|NJNBRK,Tom Barrise,barrito99c,NJNBRK,1,2,0,2,2009-11-29,2009-12-02,False
vandeki01c|09|10|NJNBRK,Kiki Vandeweghe,vandeki01c,NJNBRK,1,64,12,52,2009-12-04,2010-04-14,False
johnsav01c|10|12|NJNBRK,Avery Johnson,johnsav01c,NJNBRK,3,176,60,116,2010-10-27,2012-12-26,False
carlepj99c|12|13|NJNBRK,P.J. Carlesimo,carlepj99c,NJNBRK,1,54,35,19,2012-12-28,2013-04-17,False
kiddja01c|13|14|NJNBRK,Jason Kidd,kiddja01c,NJNBRK,1,82,44,38,2013-10-30,2014-04-16,False
hollili01c|14|16|NJNBRK,Lionel Hollins,hollili01c,NJNBRK,2,119,48,71,2014-10-29,2016-01-09,False
brownto01c|16|16|NJNBRK,Tony Brown,brownto01c,NJNBRK,1,45,11,34,2016-01-11,2016-04-13,False
atkinke01c|16|17|NJNBRK,Kenny Atkinson,atkinke01c,NJNBRK,2,109,31,78,2016-10-26,2017-12-14,False
silaspa01c|00|03|NORLHP,Paul Silas,silaspa01c,NORLHP,3,246,137,109,2000-10-31,2003-04-16,True
floydti99c|03|04|NORLHP,Tim Floyd,floydti99c,NORLHP,1,82,41,41,2003-10-29,2004-04-14,False
scottby01c|04|09|NORLHP,Byron Scott,scottby01c,NORLHP,6,419,203,216,2004-11-03,2009-11-11,False
bowerje99c|09|10|NORLHP,Jeff Bower,bowerje99c,NORLHP,1,73,34,39,2009-11-13,2010-04-14,False
willimo01c|10|15|NORLHP,Monty Williams,willimo01c,NORLHP,5,394,173,221,2010-10-27,2015-04-15,False
gentral99c|15|17|NORLHP,Alvin Gentry,gentral99c,NORLHP,3,193,79,114,2015-10-27,2017-12-13,False
vanguje99c|00|01|NYK,Jeff Van Gundy,vanguje99c,NYK,2,101,58,43,2000-10-31,2001-12-04,True
chanedo01c|01|04|NYK,Don Chaney,chanedo01c,NYK,3,184,72,112,2001-12-08,2004-01-12,False
willihe01c|04|04|NYK,Herb Williams,willihe01c,NYK,1,1,1,0,2004-01-14,2004-01-14,False
wilkele01c|04|05|NYK,Lenny Wilkens,wilkele01c,NYK,2,81,40,41,2004-01-16,2005-01-21,False
willihe01c|05|05|NYK,Herb Williams,willihe01c,NYK,1,43,16,27,2005-01-23,2005-04-20,False
brownla01c|05|06|NYK,Larry Brown,brownla01c,NYK,1,82,23,59,2005-11-02,2006-04-19,False
thomais01c|06|08|NYK,Isiah Thomas,thomais01c,NYK,2,164,56,108,2006-11-01,2008-04-16,False
dantomi01c|08|12|NYK,Mike D'Antoni,dantomi01c,NYK,4,288,121,167,2008-10-29,2012-03-12,False
woodsmi01c|12|14|NYK,Mike Woodson,woodsmi01c,NYK,3,188,109,79,2012-03-14,2014-04-16,False
fishede01c|14|16|NYK,Derek Fisher,fishede01c,NYK,2,136,40,96,2014-10-29,2016-02-07,False
rambiku01c|16|16|NYK,Kurt Rambis,rambiku01c,NYK,1,28,9,19,2016-02-09,2016-04-12,False
hornaje01c|16|17|NYK,Jeff Hornacek,hornaje01c,NYK,2,110,46,64,2016-10-25,2017-12-14,False
riverdo01c|00|03|ORL,Doc Rivers,riverdo01c,ORL,4,257,130,127,2000-10-31,2003-11-17,True
davisjo01c|03|05|ORL,Johnny Davis,davisjo01c,ORL,2,135,51,84,2003-11-20,2005-03-16,False
jentch01c|05|05|ORL,Chris Jent,jentch01c,ORL,1,18,5,13,2005-03-18,2005-04-20,False
hillbr99c|05|07|ORL,Brian Hill,hillbr99c,ORL,2,164,76,88,2005-11-02,2007-04-18,False
vangust99c|07|12|ORL,Stan Van Gundy,vangust99c,ORL,5,394,259,135,2007-10-31,2012-04-26,False
vaughja01c|12|15|ORL,Jacque Vaughn,vaughja01c,ORL,3,216,58,158,2012-11-02,2015-02-04,False
borreja99c|15|15|ORL,James Borrego,borreja99c,ORL,1,30,10,20,2015-02-06,2015-04-15,False
skilesc01c|15|16|ORL,Scott Skiles,skilesc01c,ORL,1,82,35,47,2015-10-28,2016-04-13,False
vogelfr99c|16|17|ORL,Frank Vogel,vogelfr99c,ORL,2,111,40,71,2016-10-26,2017-12-13,False
brownla01c|00|03|PHI,Larry Brown,brownla01c,PHI,3,246,147,99,2000-10-31,2003-04-16,True
ayersra99c|03|04|PHI,Randy Ayers,ayersra99c,PHI,1,52,21,31,2003-10-28,2004-02-08,False
fordch01c|04|04|PHI,Chris Ford,fordch01c,PHI,1,30,12,18,2004-02-11,2004-04-14,False
obrieji99c|04|05|PHI,Jim O'Brien,obrieji99c,PHI,1,82,43,39,2004-11-03,2005-04-20,False
cheekma01c|05|08|PHI,Maurice Cheeks,cheekma01c,PHI,4,269,122,147,2005-11-01,2008-12-12,False
dileoto99c|08|09|PHI,Tony DiLeo,dileoto99c,PHI,1,59,32,27,2008-12-13,2009-04-15,False
jordaed01c|09|10|PHI,Eddie Jordan,jordaed01c,PHI,1,82,27,55,2009-10-28,2010-04-14,False
collido01c|10|13|PHI,Doug Collins,collido01c,PHI,3,230,110,120,2010-10-27,2013-04-17,False
brownbr99c|13|17|PHI,Brett Brown,brownbr99c,PHI,5,355,89,266,2013-10-30,2017-12-12,False
skilesc01c|00|02|PHO,Scott Skiles,skilesc01c,PHO,2,133,76,57,2000-10-31,2002-02-15,True
johnsfr01c|02|03|PHO,Frank Johnson,johnsfr01c,PHO,3,134,63,71,2002-02-17,2003-12-09,False
dantomi01c|03|08|PHO,Mike D'Antoni,dantomi01c,PHO,5,389,253,136,2003-12-11,2008-04-16,False
portete01c|08|09|PHO,Terry Porter,portete01c,PHO,1,51,28,23,2008-10-29,2009-02-11,False
gentral99c|09|13|PHO,Alvin Gentry,gentral99c,PHO,5,302,158,144,2009-02-17,2013-01-17,False
hunteli01c|13|13|PHO,Lindsey Hunter,hunteli01c,PHO,1,41,12,29,2013-01-23,2013-04-17,False
hornaje01c|13|16|PHO,Jeff Hornacek,hornaje01c,PHO,3,213,101,112,2013-10-30,2016-01-31,False
