franchise,team,year,coaches_text,coaches_id
NYK,NYK,1953,J. Lapchick (47-23),lapchjo99c
NYK,NYK,1952,J. Lapchick (37-29),lapchjo99c
NYK,NYK,1951,J. Lapchick (36-30),lapchjo99c
NYK,NYK,1950,J. Lapchick (40-28),lapchjo99c
NYK,NYK,1949,J. Lapchick (32-28),lapchjo99c
NYK,NYK,1948,J. Lapchick (26-22),lapchjo99c
NYK,NYK,1947,N. Cohalan (33-27),cohalne99c
SEAOKC,OKC,2018,B. Donovan (13-14),donovbi99c
SEAOKC,OKC,2017,B. Donovan (47-35),donovbi99c
SEAOKC,OKC,2016,B. Donovan (55-27),donovbi99c
SEAOKC,OKC,2015,S. Brooks (45-37),brooksc01c
SEAOKC,OKC,2014,S. Brooks (59-23),brooksc01c
SEAOKC,OKC,2013,S. Brooks (60-22),brooksc01c
SEAOKC,OKC,2012,S. Brooks (47-19),brooksc01c
SEAOKC,OKC,2011,S. Brooks (55-27),brooksc01c
SEAOKC,OKC,2010,S. Brooks (50-32),brooksc01c
SEAOKC,OKC,2009,"P. Carlesimo (1-12), S. Brooks (22-47)",carlepj99c|brooksc01c
SEAOKC,SEA,2008,P. Carlesimo (20-62),carlepj99c
SEAOKC,SEA,2007,B. Hill (31-51),hillbo99c
SEAOKC,SEA,2006,"B. Weiss (13-17), B. Hill (22-30)",weissbo01c|hillbo99c
SEAOKC,SEA,2005,N. McMillan (52-30),mcmilna01c
SEAOKC,SEA,2004,N. McMillan (37-45),mcmilna01c
SEAOKC,SEA,2003,N. McMillan (40-42),mcmilna01c
SEAOKC,SEA,2002,N. McMillan (45-37),mcmilna01c
SEAOKC,SEA,2001,"P. Westphal (6-9), N. McMillan (38-29)",westppa01c|mcmilna01c
SEAOKC,SEA,2000,P. Westphal (45-37),westppa01c
SEAOKC,SEA,1999,P. Westphal (25-25),westppa01c
SEAOKC,SEA,1998,G. Karl (61-21),karlge01c
SEAOKC,SEA,1997,G. Karl (57-25),karlge01c
SEAOKC,SEA,1996,G. Karl (64-18),karlge01c
SEAOKC,SEA,1995,G. Karl (57-25),karlge01c
SEAOKC,SEA,1994,G. Karl (63-19),karlge01c
