coach_id|coach_name|fromyear|toyear|iscurrent
waltolu01c|Luke Walton|2017|2018|y
wanzebo01c|Bobby Wanzer|1956|1959|
watsoea01c|Earl Watson|2016|2018|
weaveji99c|Jim Weaver|1969|1969|
weissbo01c|Bob Weiss|1987|2006|
westje01c|Jerry West|1977|1979|
westhpa99c|Paul Westhead|1980|1992|
westppa01c|Paul Westphal|1993|2012|
wetzejo01c|John Wetzel|1988|1988|
wilkele01c|Lenny Wilkens|1970|2005|
willihe01c|Herb Williams|2004|2005|
willima99c|Max Williams|1970|1971|
willimo01c|Monty Williams|2011|2015|
wintete99c|Tex Winter|1972|1973|
wintebr01c|Brian Winters|1996|2002|
wittmra01c|Randy Wittman|2000|2016|
wohlda01c|Dave Wohl|1986|1988|
wolfch99c|Charles Wolf|1961|1965|
woodsmi01c|Mike Woodson|2005|2014|
youngdr99c|Draff Young|1974|1974|
youngve99c|Verl Young|1969|1969|
zasloma01c|Max Zaslofsky|1968|1969|
