date,season,playoff,team,elo,win,franchise
1979-11-20,1980,,KCK,1541.0786,True,KCK
1979-11-20,1980,,SAS,1537.1904,False,SAS
1979-11-20,1980,,DET,1408.2526,False,DET
1979-11-20,1980,,POR,1614.9242,True,POR
1979-11-21,1980,,PHI,1584.744,False,PHI
1979-11-21,1980,,BOS,1541.2866,True,BOS
1979-11-21,1980,,NYK,1432.8759,False,NYK
1979-11-21,1980,,ATL,1555.4999,False,ATL
1979-11-21,1980,,KCK,1535.8397,False,KCK
1979-11-21,1980,,LAL,1581.7423,False,LAL
1979-11-21,1980,,CLE,1444.4366,True,CLE
1979-11-21,1980,,SDC,1463.3494,False,SDC
1979-11-21,1980,,UTA,1302.2231,False,UTA
1979-11-21,1980,,NJN,1409.8516,False,NJNBRK
1979-11-21,1980,,IND,1462.2817,True,IND
1979-11-21,1980,,WSB,1478.4531,False,WSB
1979-11-21,1980,,PHO,1578.1162,True,PHO
1979-11-21,1980,,SEA,1624.0085,True,SEAOKC
1979-11-21,1980,,MIL,1604.6011,True,MIL
1979-11-21,1980,,HOU,1533.1138,True,HOU
1979-11-21,1980,,DET,1411.1213,True,DET
1979-11-21,1980,,DEN,1490.6489,True,DEN
1979-11-22,1980,,MIL,1610.7946,True,MIL
1979-11-22,1980,,GSW,1492.7383,False,GSW
1979-11-22,1980,,CLE,1462.2437,True,CLE
1979-11-22,1980,,NJN,1403.6581,False,NJNBRK
1979-11-23,1980,,MIL,1588.8197,False,MIL
1979-11-23,1980,,SAS,1545.5109,True,SAS
1979-11-23,1980,,PHO,1586.8274,True,PHO
1979-11-23,1980,,PHI,1590.5313,True,PHI
1979-11-23,1980,,DET,1433.0962,True,DET
1979-11-23,1980,,IND,1456.087,False,IND
1979-11-23,1980,,ATL,1546.6896,False,ATL
1979-11-23,1980,,HOU,1527.3265,False,HOU
1979-11-23,1980,,LAL,1573.0311,False,LAL
1979-11-23,1980,,WSB,1470.1327,False,WSB
1979-11-23,1980,,SDC,1447.8386,False,SDC
1979-11-23,1980,,KCK,1551.3505,True,KCK
1979-11-23,1980,,CHI,1398.807,True,CHI
1979-11-23,1980,,BOS,1547.4813,True,BOS
1979-11-23,1980,,POR,1610.876,False,POR
1979-11-23,1980,,SEA,1628.0568,True,SEAOKC
1979-11-24,1980,,BOS,1557.2506,True,BOS
1979-11-24,1980,,ATL,1536.9203,False,ATL
1979-11-24,1980,,GSW,1499.9335,True,GSW
1979-11-24,1980,,PHO,1599.8704,True,PHO
1979-11-24,1980,,WSB,1478.0024,True,WSB
1979-11-24,1980,,DET,1423.9434,False,DET
1979-11-24,1980,,CLE,1449.8486,False,CLE
1979-11-24,1980,,NJN,1401.1101,False,NJNBRK
1979-11-24,1980,,CHI,1391.6118,False,CHI
1979-11-24,1980,,IND,1465.2399,True,IND
1979-11-24,1980,,PHI,1593.0792,True,PHI
1979-11-24,1980,,HOU,1519.4568,False,HOU
1979-11-24,1980,,DEN,1477.606,False,DEN
1979-11-24,1980,,NYK,1445.2709,True,NYK
1979-11-25,1980,,LAL,1575.4747,True,LAL
1979-11-25,1980,,PHO,1605.6771,True,PHO
1979-11-25,1980,,GSW,1491.776,False,GSW
1979-11-25,1980,,KCK,1548.9069,False,KCK
1979-11-25,1980,,NJN,1395.9233,False,NJNBRK
1979-11-25,1980,,CLE,1455.0354,True,CLE
1979-11-25,1980,,MIL,1596.9772,True,MIL
1979-11-25,1980,,POR,1605.0692,False,POR
1979-11-26,1980,,IND,1463.7887,False,IND
1979-11-26,1980,,PHI,1594.5304,True,PHI
1979-11-27,1980,,UTA,1299.2296,False,UTA
1979-11-27,1980,,SDC,1457.6954,True,SDC
1979-11-27,1980,,SAS,1519.7329,False,SAS
1979-11-27,1980,,NYK,1448.1968,True,NYK
1979-11-27,1980,,MIL,1554.0553,False,MIL
1979-11-27,1980,,HOU,1516.6382,False,HOU
1979-11-27,1980,,NJN,1438.8452,True,NJNBRK
1979-11-27,1980,,CHI,1381.755,False,CHI
1979-11-27,1980,,WSB,1468.1989,False,WSB
1979-11-27,1980,,ATL,1562.6982,True,ATL
1979-11-27,1980,,DET,1421.0175,False,DET
1979-11-27,1980,,KCK,1551.7255,True,KCK
1979-11-27,1980,,DEN,1487.4095,True,DEN
1979-11-27,1980,,LAL,1578.4683,True,LAL
