tenure.slug,coach.id,name,tenure.ending,end.event,black,interim.promoted,first.hc.job,total.games,win.pct,starting.elo,tenure.progress,last.year.progress,recent.progress,peak,middle,bottom
borreja99c_CHA_2019_2020,borreja99c,James Borrego,active,0,0,0,1,147,0.4217687074829932,1501.95531264353,-129.79933270099013,-132.31512437988,7.247710604169924,1538.98287557077,1453.4898251932377,1334.27418687906
boyleji02c_CHI_2019_2020,boyleji02c,Jim Boylen,active,0,0,1,1,123,0.3170731707317073,1314.24550460085,24.167705007459972,37.21560652328981,-37.69538147772005,1410.44944520588,1348.0198610338855,1270.79018879764
brooksc01c_OKC_2009_2015,brooksc01c,Scott Brooks,fired,1,0,0,1,545,0.6201834862385321,1275.9138,299.52,-71.39020000000005,-51.330400000000054,1749.163,1581.4663840366964,1249.0995
brooksc01c_WAS_2017_2020,brooksc01c,Scott Brooks,active,0,0,0,0,310,0.4774193548387097,1523.7228154137,-131.7047100129398,-25.43483870877003,-19.71464384992987,1620.02317644143,1494.2754739645075,1375.97327665918
brownbr99c_PHI_2014_2020,brownbr99c,Brett Brown,active,0,0,0,1,557,0.3895870736086176,1459.6904,100.7747305447001,-11.817182126589842,-12.39961928997991,1651.67016406563,1405.4255070101844,1174.7012
brownhu99c_MEM_2003_2005,brownhu99c,Hubie Brown,retired,0,0,0,0,168,0.49404761904761907,1338.5573,219.98490000000015,-35.16079999999988,40.09660000000008,1628.6801,1470.434910119048,1315.6183
brownla01c_CHA_2009_2011,brownla01c,Larry Brown,resigned,0,0,0,0,192,0.4583333333333333,1462.3469,-35.812200000000075,-138.9049,-72.02539999999999,1565.4674,1483.1574942708337,1399.3179
brownla01c_DET_2004_2005,brownla01c,Larry Brown,fired,1,0,0,0,164,0.6585365853658537,1545.2441,90.5282000000002,-48.32849999999985,56.80320000000006,1684.1008,1598.8854792682926,1537.6965
brownla01c_NYK_2006_2006,brownla01c,Larry Brown,fired,1,0,0,0,82,0.2804878048780488,1431.3687,-132.1781000000001,-99.15750000000003,5.148199999999861,1433.7301,1365.6164536585368,1285.9266
brownla01c_PHI_1998_2003,brownla01c,Larry Brown,resigned,0,0,0,0,460,0.5543478260869565,1358.9252,212.1893,26.01599999999985,-17.876000000000204,1659.3602,1525.0388210869571,1332.0055
brownmi99c_CLE_2006_2010,brownmi99c,Mike Brown,fired,1,1,0,1,410,0.6634146341463415,1472.532,243.2482,-19.0612000000001,-38.78580000000011,1762.7637,1601.3029765853676,1470.3197
brownmi99c_CLE_2014_2014,brownmi99c,Mike Brown,fired,1,1,0,0,82,0.4024390243902439,1369.2823,58.92750000000001,97.63380000000006,-3.430699999999888,1468.439,1385.4874841463416,1330.8328
brownmi99c_LAL_2012_2013,brownmi99c,Mike Brown,fired,1,1,0,0,71,0.5915492957746479,1594.3787,-66.78600000000006,-78.94550000000004,-87.12779999999998,1618.002,1591.9398295774643,1518.7981
budenmi99c_ATL_2014_2018,budenmi99c,Mike Budenholzer,mutual consent,1,0,0,1,410,0.5195121951219512,1484.9949,-132.10558790160985,-134.83032402878985,6.288693871110127,1701.1826,1509.1684742121054,1316.52627594045
budenmi99c_MIL_2019_2020,budenmi99c,Mike Budenholzer,active,0,0,0,0,147,0.7687074829931972,1517.81379206874,213.45533584585996,43.029120393129915,-8.737752783730002,1776.1669825835,1683.023235297994,1517.81379206874
bzdelje99c_DEN_2003_2005,bzdelje99c,Jeff Bzdelik,fired,1,0,0,1,192,0.3802083333333333,1410.3425,70.28770000000009,-63.275699999999915,-36.06230000000005,1543.9059,1421.963177604166,1274.8755
carlepj99c_GSW_1998_2000,carlepj99c,P.J. Carlesimo,fired,1,0,0,0,159,0.2893081761006289,1405.9241,-15.416999999999916,-21.77520000000004,51.693700000000035,1432.4757,1342.4157968553468,1244.3533
carlepj99c_OKC_2008_2009,carlepj99c,P.J. Carlesimo,fired,1,0,0,0,95,0.22105263157894736,1440.3995,-156.79739999999993,-0.7623999999998432,-51.835799999999836,1440.3995,1349.5708621052631,1263.7084
carliri01c_DAL_2009_2020,carliri01c,Rick Carlisle,active,0,0,0,0,953,0.5351521511017838,1563.3782,10.237331422199986,121.60116708183,-3.4956234512299034,1678.1997,1536.3124486899262,1360.30931642035
carliri01c_DET_2002_2003,carliri01c,Rick Carlisle,fired,1,0,0,1,164,0.6097560975609756,1453.8972,113.96769999999992,5.713400000000092,-39.42899999999986,1650.4094,1550.676296341463,1447.7196
carliri01c_IND_2004_2007,carliri01c,Rick Carlisle,fired,1,0,0,0,328,0.551829268292683,1503.9951,-99.08400000000006,-91.19489999999996,-1.465099999999893,1660.2753,1534.9193810975605,1398.986
cartebu01c_TOR_1998_2000,cartebu01c,Butch Carter,fired,1,1,0,1,165,0.44242424242424244,1334.1735,166.09089999999992,69.42820000000006,-5.378400000000056,1550.0267,1423.7744042424245,1247.9673
cartwbi01c_CHI_2002_2004,cartwbi01c,Bill Cartwright,fired,1,1,1,1,151,0.33774834437086093,1266.0724,104.99049999999988,-7.457900000000109,-22.434400000000096,1420.49,1339.8910920529806,1248.4794
caseybo99c_NJN_1999_2000,caseybo99c,Don Casey,fired,1,0,0,0,112,0.39285714285714285,1407.6759,26.66300000000001,-1.3596000000000004,-86.9978000000001,1536.2495,1442.9141035714285,1374.8817
caseydw99c_DET_2019_2020,caseydw99c,Dwane Casey,active,0,1,0,0,148,0.41216216216216217,1492.02538132293,-147.5509928885199,-142.21976788926008,-40.907367426709925,1550.587988201,1459.7695153461104,1344.47438843441
caseydw99c_MIN_2006_2007,caseydw99c,Dwane Casey,fired,1,1,0,1,122,0.4344262295081967,1545.4784,-76.7527,57.75499999999988,-5.554000000000087,1577.5343,1483.9620172131156,1410.9707
caseydw99c_TOR_2012_2018,caseydw99c,Dwane Casey,fired,1,1,0,0,558,0.5734767025089605,1350.1757,336.89892813022993,104.38096768226,-21.150360847830143,1722.14268381814,1537.5918437543708,1316.9792
chanedo01c_NYK_2002_2004,chanedo01c,Don Chaney,fired,1,1,0,0,184,0.391304347826087,1497.7788,-54.12670000000003,-37.58570000000009,15.147300000000087,1501.0225,1437.0904456521741,1374.7441
cheekma01c_DET_2014_2014,cheekma01c,Maurice Cheeks,fired,1,1,0,0,50,0.42,1405.6205,-9.417400000000043,22.206199999999853,10.477399999999989,1477.7844,1417.0218439999999,1380.4509
cheekma01c_PHI_2006_2009,cheekma01c,Maurice Cheeks,fired,1,1,0,0,269,0.45353159851301117,1494.302,-35.33179999999993,-62.26729999999998,-29.260500000000093,1565.3096,1459.8579531598523,1368.7107
cheekma01c_POR_2002_2005,cheekma01c,Maurice Cheeks,fired,1,1,0,1,301,0.5382059800664452,1537.8097,-111.96330000000012,-102.39859999999999,-28.902700000000095,1653.7834,1543.566299003321,1425.8464
cliffst99c_CHA_2014_2018,cliffst99c,Steve Clifford,fired,1,0,0,1,410,0.47804878048780486,1352.4205,110.13520416331994,-13.700392115350041,10.503711297829796,1580.97114241618,1476.5645800978539,1346.3245
cliffst99c_ORL_2019_2020,cliffst99c,Steve Clifford,active,0,0,0,0,147,0.4897959183673469,1377.81371406097,113.62988836955014,-91.39468501599004,28.74230134086997,1582.83828744651,1469.157430032571,1337.47659346642
collido01c_PHI_2011_2013,collido01c,Doug Collins,resigned,0,0,0,0,230,0.4782608695652174,1413.7129,9.046499999999924,-107.15300000000002,12.74369999999999,1594.103,1495.139146956521,1367.3601
collido01c_WAS_2002_2003,collido01c,Doug Collins,fired,1,0,0,0,164,0.45121951219512196,1340.9645,87.77179999999998,-5.524200000000064,-40.780500000000075,1517.007,1448.554701219512,1315.3483
corbity01c_SAC_2015_2015,corbity01c,Tyrone Corbin,fired,1,1,0,0,28,0.25,1449.8037,-74.55809999999997,-36.8438000000001,-26.487100000000055,1449.8037,1412.4628821428573,1372.6208
corbity01c_UTA_2011_2014,corbity01c,Tyrone Corbin,fired,1,1,0,1,258,0.43410852713178294,1499.0061,-187.61890000000017,-220.87890000000016,-48.516200000000026,1565.0074,1475.295985658916,1311.3872
cowenda01c_GSW_2001_2002,cowenda01c,Dave Cowens,fired,1,0,0,0,105,0.23809523809523808,1346.8867,-15.181499999999915,101.21410000000014,-12.18179999999984,1389.1722,1329.9918952380954,1230.4911
currymi01c_DET_2009_2009,currymi01c,Michael Curry,fired,1,1,0,1,82,0.47560975609756095,1612.3751,-125.11660000000006,-155.63430000000017,12.604100000000017,1644.7262,1538.8114487804878,1458.3712
dantomi01c_HOU_2017_2020,dantomi01c,Mike D'Antoni,active,0,0,0,0,310,0.6870967741935484,1527.88667200635,33.92694430794995,-155.78963392088008,-23.125354614160187,1792.27316174205,1632.6021607519497,1517.27842618522
dantomi01c_LAL_2013_2014,dantomi01c,Mike D'Antoni,mutual consent,1,0,0,0,154,0.43506493506493504,1542.873,-185.635,-206.25589999999988,-6.82569999999987,1569.0409,1472.5766409090909,1338.6115
