coach.id,name,tenure.id,franchise.id,start.year,end.year,coach.wins,coach.losses,coach.games,tenure.slug,tenure.ending,interim.promoted
fishede01c,Derek Fisher,406,NYK,2015,2016,40,96,136,fishede01c_NYK_2015_2016,fired,
rambiku01c,Kurt Rambis,407,NYK,2016,2016,9,19,28,rambiku01c_NYK_2016_2016,interim only,
hornaje01c,Jeff Hornacek,408,NYK,2017,2018,60,104,164,hornaje01c_NYK_2017_2018,fired,
fizdada01c,David Fizdale,409,NYK,2019,2020,21,83,104,fizdada01c_NYK_2019_2020,fired,
millemi99c,Mike Miller,410,NYK,2020,2020,17,27,44,millemi99c_NYK_2020_2020,,
westppa01c,Paul Westphal,422,OKC,1999,2001,76,71,147,westppa01c_OKC_1999_2001,fired,
mcmilna01c,Nate McMillan,423,OKC,2001,2005,212,183,395,mcmilna01c_OKC_2001_2005,contract expired,
weissbo01c,Bob Weiss,424,OKC,2006,2006,13,17,30,weissbo01c_OKC_2006_2006,fired,
hillbo99c,Bob Hill,425,OKC,2006,2007,53,81,134,hillbo99c_OKC_2006_2007,fired,
carlepj99c,P.J. Carlesimo,426,OKC,2008,2009,21,74,95,carlepj99c_OKC_2008_2009,fired,
brooksc01c,Scott Brooks,427,OKC,2009,2015,338,207,545,brooksc01c_OKC_2009_2015,fired,
donovbi99c,Billy Donovan,428,OKC,2016,2020,239,153,392,donovbi99c_OKC_2016_2020,,
riverdo01c,Doc Rivers,433,ORL,2000,2004,171,168,339,riverdo01c_ORL_2000_2004,fired,
davisjo01c,Johnny Davis,434,ORL,2004,2005,51,84,135,davisjo01c_ORL_2004_2005,fired,
jentch01c,Chris Jent,435,ORL,2005,2005,5,13,18,jentch01c_ORL_2005_2005,interim only,
hillbr99c,Brian Hill,436,ORL,2006,2007,76,88,164,hillbr99c_ORL_2006_2007,fired,
vangust99c,Stan Van Gundy,437,ORL,2008,2012,259,135,394,vangust99c_ORL_2008_2012,fired,
vaughja01c,Jacque Vaughn,438,ORL,2013,2015,58,158,216,vaughja01c_ORL_2013_2015,fired,
borreja99c,James Borrego,439,ORL,2015,2015,10,20,30,borreja99c_ORL_2015_2015,interim only,
skilesc01c,Scott Skiles,440,ORL,2016,2016,35,47,82,skilesc01c_ORL_2016_2016,resigned,
vogelfr99c,Frank Vogel,441,ORL,2017,2018,54,110,164,vogelfr99c_ORL_2017_2018,fired,
cliffst99c,Steve Clifford,442,ORL,2019,2020,72,75,147,cliffst99c_ORL_2019_2020,,
brownla01c,Larry Brown,459,PHI,1998,2003,255,205,460,brownla01c_PHI_1998_2003,resigned,
ayersra99c,Randy Ayers,460,PHI,2004,2004,21,31,52,ayersra99c_PHI_2004_2004,fired,
fordch01c,Chris Ford,461,PHI,2004,2004,12,18,30,fordch01c_PHI_2004_2004,interim only,
obrieji99c,Jim O'Brien,462,PHI,2005,2005,43,39,82,obrieji99c_PHI_2005_2005,fired,
cheekma01c,Maurice Cheeks,463,PHI,2006,2009,122,147,269,cheekma01c_PHI_2006_2009,fired,
dileoto99c,Tony DiLeo,464,PHI,2009,2009,32,27,59,dileoto99c_PHI_2009_2009,interim only,
