franchise.id,season,game.number,win.loss
ATL,2012,58,L
ATL,2012,59,W
ATL,2012,60,L
ATL,2012,61,W
ATL,2012,62,W
ATL,2012,63,W
ATL,2012,64,L
ATL,2012,65,W
ATL,2012,66,W
ATL,2011,1,W
ATL,2011,2,W
ATL,2011,3,W
ATL,2011,4,W
ATL,2011,5,W
ATL,2011,6,W
ATL,2011,7,L
ATL,2011,8,L
ATL,2011,9,L
ATL,2011,10,L
ATL,2011,11,W
ATL,2011,12,W
ATL,2011,13,L
ATL,2011,14,L
ATL,2011,15,L
ATL,2011,16,W
ATL,2011,17,W
ATL,2011,18,W
ATL,2011,19,W
ATL,2011,20,W
ATL,2011,21,L
ATL,2011,22,W
ATL,2011,23,W
ATL,2011,24,L
ATL,2011,25,W
ATL,2011,26,L
ATL,2011,27,L
ATL,2011,28,W
ATL,2011,29,L
ATL,2011,30,W
ATL,2011,31,W
ATL,2011,32,L
ATL,2011,33,W
ATL,2011,34,W
ATL,2011,35,L
ATL,2011,36,W
ATL,2011,37,W
ATL,2011,38,W
ATL,2011,39,W
ATL,2011,40,W
ATL,2011,41,L
ATL,2011,42,W
ATL,2011,43,W
ATL,2011,44,L
ATL,2011,45,W
ATL,2011,46,L
ATL,2011,47,W
ATL,2011,48,L
ATL,2011,49,W
ATL,2011,50,W
ATL,2011,51,W
ATL,2011,52,L
ATL,2011,53,L
ATL,2011,54,W
ATL,2011,55,L
ATL,2011,56,L
ATL,2011,57,L
ATL,2011,58,W
ATL,2011,59,W
ATL,2011,60,L
ATL,2011,61,W
ATL,2011,62,L
ATL,2011,63,L
ATL,2011,64,L
ATL,2011,65,L
ATL,2011,66,W
ATL,2011,67,W
ATL,2011,68,L
ATL,2011,69,L
ATL,2011,70,W
ATL,2011,71,L
ATL,2011,72,L
ATL,2011,73,W
ATL,2011,74,W
ATL,2011,75,W
ATL,2011,76,W
ATL,2011,77,L
ATL,2011,78,L
ATL,2011,79,L
ATL,2011,80,L
ATL,2011,81,L
ATL,2011,82,L
ATL,2010,1,W
ATL,2010,2,W
ATL,2010,3,L
ATL,2010,4,W
ATL,2010,5,W
ATL,2010,6,L
ATL,2010,7,W
ATL,2010,8,W
ATL,2010,9,W
ATL,2010,10,W
ATL,2010,11,W
ATL,2010,12,W
ATL,2010,13,W
ATL,2010,14,L
ATL,2010,15,L
ATL,2010,16,W
ATL,2010,17,L
ATL,2010,18,W
ATL,2010,19,L
ATL,2010,20,W
ATL,2010,21,W
ATL,2010,22,W
ATL,2010,23,W
ATL,2010,24,W
ATL,2010,25,W
ATL,2010,26,L
ATL,2010,27,W
ATL,2010,28,L
ATL,2010,29,W
ATL,2010,30,L
ATL,2010,31,L
ATL,2010,32,L
ATL,2010,33,L
ATL,2010,34,W
ATL,2010,35,W
ATL,2010,36,L
ATL,2010,37,W
ATL,2010,38,W
ATL,2010,39,W
ATL,2010,40,L
ATL,2010,41,W
ATL,2010,42,W
ATL,2010,43,W
ATL,2010,44,L
ATL,2010,45,W
ATL,2010,46,L
ATL,2010,47,L
ATL,2010,48,W
ATL,2010,49,W
ATL,2010,50,W
ATL,2010,51,L
ATL,2010,52,W
ATL,2010,53,L
ATL,2010,54,L
ATL,2010,55,W
ATL,2010,56,W
ATL,2010,57,L
ATL,2010,58,W
ATL,2010,59,W
ATL,2010,60,W
ATL,2010,61,W
ATL,2010,62,L
ATL,2010,63,L
ATL,2010,64,W
ATL,2010,65,W
ATL,2010,66,W
ATL,2010,67,L
ATL,2010,68,W
ATL,2010,69,W
ATL,2010,70,L
ATL,2010,71,W
ATL,2010,72,L
ATL,2010,73,W
ATL,2010,74,W
ATL,2010,75,L
ATL,2010,76,W
ATL,2010,77,L
ATL,2010,78,L
ATL,2010,79,W
ATL,2010,80,W
ATL,2010,81,W
ATL,2010,82,W
ATL,2009,1,W
ATL,2009,2,W
ATL,2009,3,W
ATL,2009,4,W
ATL,2009,5,W
ATL,2009,6,W
ATL,2009,7,L
ATL,2009,8,L
ATL,2009,9,L
ATL,2009,10,L
ATL,2009,11,W
ATL,2009,12,W
ATL,2009,13,L
ATL,2009,14,W
ATL,2009,15,L
ATL,2009,16,W
ATL,2009,17,W
ATL,2009,18,W
ATL,2009,19,L
ATL,2009,20,L
ATL,2009,21,L
ATL,2009,22,W
ATL,2009,23,W
ATL,2009,24,W
ATL,2009,25,L
ATL,2009,26,W
ATL,2009,27,W
ATL,2009,28,W
ATL,2009,29,W
ATL,2009,30,W
ATL,2009,31,W
ATL,2009,32,L
ATL,2009,33,W
ATL,2009,34,L
ATL,2009,35,L
ATL,2009,36,L
ATL,2009,37,L
ATL,2009,38,W
ATL,2009,39,L
ATL,2009,40,W
ATL,2009,41,W
ATL,2009,42,W
ATL,2009,43,L
ATL,2009,44,L
ATL,2009,45,L
ATL,2009,46,W
ATL,2009,47,L
ATL,2009,48,W
ATL,2009,49,W
ATL,2009,50,L
ATL,2009,51,W
ATL,2009,52,W
ATL,2009,53,L
ATL,2009,54,W
ATL,2009,55,L
ATL,2009,56,L
ATL,2009,57,L
ATL,2009,58,W
ATL,2009,59,L
ATL,2009,60,W
ATL,2009,61,L
ATL,2009,62,L
ATL,2009,63,W
ATL,2009,64,W
ATL,2009,65,W
ATL,2009,66,W
ATL,2009,67,W
ATL,2009,68,W
ATL,2009,69,W
ATL,2009,70,L
ATL,2009,71,W
ATL,2009,72,L
ATL,2009,73,L
ATL,2009,74,W
ATL,2009,75,L
ATL,2009,76,L
ATL,2009,77,L
ATL,2009,78,W
ATL,2009,79,W
ATL,2009,80,W
ATL,2009,81,W
ATL,2009,82,L
ATL,2008,1,W
ATL,2008,2,L
ATL,2008,3,L
ATL,2008,4,W
ATL,2008,5,L
ATL,2008,6,L
ATL,2008,7,W
ATL,2008,8,L
ATL,2008,9,L
ATL,2008,10,L
ATL,2008,11,W
ATL,2008,12,W
ATL,2008,13,L
ATL,2008,14,W
ATL,2008,15,L
ATL,2008,16,W
ATL,2008,17,L
ATL,2008,18,W
ATL,2008,19,W
ATL,2008,20,W
ATL,2008,21,L
ATL,2008,22,L
ATL,2008,23,W
ATL,2008,24,W
ATL,2008,25,W
ATL,2008,26,W
ATL,2008,27,W
ATL,2008,28,L
ATL,2008,29,L
ATL,2008,30,L
ATL,2008,31,L
ATL,2008,32,W
ATL,2008,33,L
ATL,2008,34,W
ATL,2008,35,W
ATL,2008,36,L
ATL,2008,37,L
ATL,2008,38,L
ATL,2008,39,L
ATL,2008,40,W
ATL,2008,41,L
ATL,2008,42,L
ATL,2008,43,L
ATL,2008,44,W
