franchise,team,season,game_num,date,result
ATL,ATL,2004,75,2004-03-31,L
ATL,ATL,2004,76,2004-04-02,W
ATL,ATL,2004,77,2004-04-04,L
ATL,ATL,2004,78,2004-04-06,L
ATL,ATL,2004,79,2004-04-09,W
ATL,ATL,2004,80,2004-04-10,W
ATL,ATL,2004,81,2004-04-12,W
ATL,ATL,2004,82,2004-04-14,L
ATL,ATL,2005,1,2004-11-03,L
ATL,ATL,2005,2,2004-11-05,L
ATL,ATL,2005,3,2004-11-07,L
ATL,ATL,2005,4,2004-11-09,L
ATL,ATL,2005,5,2004-11-12,W
ATL,ATL,2005,6,2004-11-13,L
ATL,ATL,2005,7,2004-11-16,W
ATL,ATL,2005,8,2004-11-17,L
ATL,ATL,2005,9,2004-11-20,L
ATL,ATL,2005,10,2004-11-23,L
ATL,ATL,2005,11,2004-11-24,L
ATL,ATL,2005,12,2004-11-26,L
ATL,ATL,2005,13,2004-11-27,L
ATL,ATL,2005,14,2004-11-30,L
ATL,ATL,2005,15,2004-12-03,L
ATL,ATL,2005,16,2004-12-04,L
ATL,ATL,2005,17,2004-12-06,W
ATL,ATL,2005,18,2004-12-08,L
ATL,ATL,2005,19,2004-12-10,W
ATL,ATL,2005,20,2004-12-11,L
ATL,ATL,2005,21,2004-12-14,L
ATL,ATL,2005,22,2004-12-15,L
ATL,ATL,2005,23,2004-12-17,L
ATL,ATL,2005,24,2004-12-18,L
ATL,ATL,2005,25,2004-12-22,W
ATL,ATL,2005,26,2004-12-27,L
ATL,ATL,2005,27,2004-12-28,L
ATL,ATL,2005,28,2004-12-30,L
ATL,ATL,2005,29,2005-01-02,L
ATL,ATL,2005,30,2005-01-05,L
ATL,ATL,2005,31,2005-01-07,L
ATL,ATL,2005,32,2005-01-11,W
ATL,ATL,2005,33,2005-01-14,L
ATL,ATL,2005,34,2005-01-15,W
ATL,ATL,2005,35,2005-01-17,L
ATL,ATL,2005,36,2005-01-19,L
ATL,ATL,2005,37,2005-01-21,L
ATL,ATL,2005,38,2005-01-22,W
ATL,ATL,2005,39,2005-01-24,L
ATL,ATL,2005,40,2005-01-26,L
ATL,ATL,2005,41,2005-01-28,L
ATL,ATL,2005,42,2005-01-29,L
ATL,ATL,2005,43,2005-01-31,W
ATL,ATL,2005,44,2005-02-02,L
ATL,ATL,2005,45,2005-02-04,L
ATL,ATL,2005,46,2005-02-05,L
ATL,ATL,2005,47,2005-02-07,W
ATL,ATL,2005,48,2005-02-10,L
ATL,ATL,2005,49,2005-02-12,L
ATL,ATL,2005,50,2005-02-15,L
ATL,ATL,2005,51,2005-02-16,L
ATL,ATL,2005,52,2005-02-22,L
ATL,ATL,2005,53,2005-02-23,L
ATL,ATL,2005,54,2005-02-25,L
ATL,ATL,2005,55,2005-02-27,L
ATL,ATL,2005,56,2005-03-01,L
ATL,ATL,2005,57,2005-03-02,L
ATL,ATL,2005,58,2005-03-05,L
ATL,ATL,2005,59,2005-03-08,L
ATL,ATL,2005,60,2005-03-09,L
ATL,ATL,2005,61,2005-03-11,W
ATL,ATL,2005,62,2005-03-12,L
ATL,ATL,2005,63,2005-03-14,L
ATL,ATL,2005,64,2005-03-16,L
ATL,ATL,2005,65,2005-03-18,L
ATL,ATL,2005,66,2005-03-21,L
ATL,ATL,2005,67,2005-03-22,L
ATL,ATL,2005,68,2005-03-25,L
ATL,ATL,2005,69,2005-03-26,L
ATL,ATL,2005,70,2005-03-28,L
ATL,ATL,2005,71,2005-03-30,L
ATL,ATL,2005,72,2005-04-01,L
ATL,ATL,2005,73,2005-04-03,L
ATL,ATL,2005,74,2005-04-05,L
