franchise,team,year,coaches_text,name,wins,losses,total_games,order
SEAOKC,SEA,2008,P. Carlesimo (20-62),P. Carlesimo,20,62,82,1
SEAOKC,SEA,2007,B. Hill (31-51),B. Hill,31,51,82,1
SEAOKC,SEA,2006,"B. Weiss (13-17), B. Hill (22-30)",B. Hill,22,30,52,2
SEAOKC,SEA,2006,"B. Weiss (13-17), B. Hill (22-30)",B. Weiss,13,17,30,1
SEAOKC,SEA,2005,N. McMillan (52-30),N. McMillan,52,30,82,1
SEAOKC,SEA,2004,N. McMillan (37-45),N. McMillan,37,45,82,1
SEAOKC,SEA,2003,N. McMillan (40-42),N. McMillan,40,42,82,1
SEAOKC,SEA,2002,N. McMillan (45-37),N. McMillan,45,37,82,1
SEAOKC,SEA,2001,"P. Westphal (6-9), N. McMillan (38-29)",N. McMillan,38,29,67,2
SEAOKC,SEA,2001,"P. Westphal (6-9), N. McMillan (38-29)",P. Westphal,6,9,15,1
ORL,ORL,2017,F. Vogel (29-53),F. Vogel,29,53,82,1
ORL,ORL,2016,S. Skiles (35-47),S. Skiles,35,47,82,1
ORL,ORL,2015,"J. Vaughn (15-37), J. Borrego (10-20)",J. Borrego,10,20,30,2
ORL,ORL,2015,"J. Vaughn (15-37), J. Borrego (10-20)",J. Vaughn,15,37,52,1
ORL,ORL,2014,J. Vaughn (23-59),J. Vaughn,23,59,82,1
ORL,ORL,2013,J. Vaughn (20-62),J. Vaughn,20,62,82,1
ORL,ORL,2012,S. Van Gundy (37-29),S. Van Gundy,37,29,66,1
ORL,ORL,2011,S. Van Gundy (52-30),S. Van Gundy,52,30,82,1
ORL,ORL,2010,S. Van Gundy (59-23),S. Van Gundy,59,23,82,1
ORL,ORL,2009,S. Van Gundy (59-23),S. Van Gundy,59,23,82,1
ORL,ORL,2008,S. Van Gundy (52-30),S. Van Gundy,52,30,82,1
ORL,ORL,2007,B. Hill (40-42),B. Hill,40,42,82,1
ORL,ORL,2006,B. Hill (36-46),B. Hill,36,46,82,1
ORL,ORL,2005,"J. Davis (31-33), C. Jent (5-13)",C. Jent,5,13,18,2
ORL,ORL,2005,"J. Davis (31-33), C. Jent (5-13)",J. Davis,31,33,64,1
ORL,ORL,2004,"D. Rivers (1-10), J. Davis (20-51)",J. Davis,20,51,71,2
ORL,ORL,2004,"D. Rivers (1-10), J. Davis (20-51)",D. Rivers,1,10,11,1
ORL,ORL,2003,D. Rivers (42-40),D. Rivers,42,40,82,1
ORL,ORL,2002,D. Rivers (44-38),D. Rivers,44,38,82,1
ORL,ORL,2001,D. Rivers (43-39),D. Rivers,43,39,82,1
PHI,PHI,2017,B. Brown (28-54),B. Brown,28,54,82,1
PHI,PHI,2016,B. Brown (10-72),B. Brown,10,72,82,1
PHI,PHI,2015,B. Brown (18-64),B. Brown,18,64,82,1
PHI,PHI,2014,B. Brown (19-63),B. Brown,19,63,82,1
PHI,PHI,2013,D. Collins (34-48),D. Collins,34,48,82,1
PHI,PHI,2012,D. Collins (35-31),D. Collins,35,31,66,1
PHI,PHI,2011,D. Collins (41-41),D. Collins,41,41,82,1
PHI,PHI,2010,E. Jordan (27-55),E. Jordan,27,55,82,1
PHI,PHI,2009,"M. Cheeks (9-14), T. DiLeo (32-27)",T. DiLeo,32,27,59,2
PHI,PHI,2009,"M. Cheeks (9-14), T. DiLeo (32-27)",M. Cheeks,9,14,23,1
PHI,PHI,2008,M. Cheeks (40-42),M. Cheeks,40,42,82,1
PHI,PHI,2007,M. Cheeks (35-47),M. Cheeks,35,47,82,1
PHI,PHI,2006,M. Cheeks (38-44),M. Cheeks,38,44,82,1
PHI,PHI,2005,J. O'Brien (43-39),J. O'Brien,43,39,82,1
PHI,PHI,2004,"R. Ayers (21-31), C. Ford (12-18)",C. Ford,12,18,30,2
PHI,PHI,2004,"R. Ayers (21-31), C. Ford (12-18)",R. Ayers,21,31,52,1
PHI,PHI,2003,L. Brown (48-34),L. Brown,48,34,82,1
PHI,PHI,2002,L. Brown (43-39),L. Brown,43,39,82,1
PHI,PHI,2001,L. Brown (56-26),L. Brown,56,26,82,1
PHO,PHO,2017,E. Watson (24-58),E. Watson,24,58,82,1
PHO,PHO,2016,"J. Hornacek (14-35), E. Watson (9-24)",E. Watson,9,24,33,2
PHO,PHO,2016,"J. Hornacek (14-35), E. Watson (9-24)",J. Hornacek,14,35,49,1
PHO,PHO,2015,J. Hornacek (39-43),J. Hornacek,39,43,82,1
PHO,PHO,2014,J. Hornacek (48-34),J. Hornacek,48,34,82,1
PHO,PHO,2013,"A. Gentry (13-28), L. Hunter (12-29)",L. Hunter,12,29,41,2
PHO,PHO,2013,"A. Gentry (13-28), L. Hunter (12-29)",A. Gentry,13,28,41,1
PHO,PHO,2012,A. Gentry (33-33),A. Gentry,33,33,66,1
PHO,PHO,2011,A. Gentry (40-42),A. Gentry,40,42,82,1
PHO,PHO,2010,A. Gentry (54-28),A. Gentry,54,28,82,1
PHO,PHO,2009,"T. Porter (28-23), A. Gentry (18-13)",A. Gentry,18,13,31,2
PHO,PHO,2009,"T. Porter (28-23), A. Gentry (18-13)",T. Porter,28,23,51,1
PHO,PHO,2008,M. D'Antoni (55-27),M. D'Antoni,55,27,82,1
PHO,PHO,2007,M. D'Antoni (61-21),M. D'Antoni,61,21,82,1
PHO,PHO,2006,M. D'Antoni (54-28),M. D'Antoni,54,28,82,1
PHO,PHO,2005,M. D'Antoni (62-20),M. D'Antoni,62,20,82,1
PHO,PHO,2004,"F. Johnson (8-13), M. D'Antoni (21-40)",M. D'Antoni,21,40,61,2
PHO,PHO,2004,"F. Johnson (8-13), M. D'Antoni (21-40)",F. Johnson,8,13,21,1
PHO,PHO,2003,F. Johnson (44-38),F. Johnson,44,38,82,1
PHO,PHO,2002,"S. Skiles (25-26), F. Johnson (11-20)",F. Johnson,11,20,31,2
PHO,PHO,2002,"S. Skiles (25-26), F. Johnson (11-20)",S. Skiles,25,26,51,1
PHO,PHO,2001,S. Skiles (51-31),S. Skiles,51,31,82,1
POR,POR,2017,T. Stotts (41-41),T. Stotts,41,41,82,1
POR,POR,2016,T. Stotts (44-38),T. Stotts,44,38,82,1
POR,POR,2015,T. Stotts (51-31),T. Stotts,51,31,82,1
POR,POR,2014,T. Stotts (54-28),T. Stotts,54,28,82,1
POR,POR,2013,T. Stotts (33-49),T. Stotts,33,49,82,1
POR,POR,2012,"N. McMillan (20-23), K. Canales (8-15)",K. Canales,8,15,23,2
POR,POR,2012,"N. McMillan (20-23), K. Canales (8-15)",N. McMillan,20,23,43,1
POR,POR,2011,N. McMillan (48-34),N. McMillan,48,34,82,1
POR,POR,2010,N. McMillan (50-32),N. McMillan,50,32,82,1
POR,POR,2009,N. McMillan (54-28),N. McMillan,54,28,82,1
POR,POR,2008,N. McMillan (41-41),N. McMillan,41,41,82,1
POR,POR,2007,N. McMillan (32-50),N. McMillan,32,50,82,1
POR,POR,2006,N. McMillan (21-61),N. McMillan,21,61,82,1
POR,POR,2005,"M. Cheeks (22-33), K. Pritchard (5-22)",K. Pritchard,5,22,27,2
POR,POR,2005,"M. Cheeks (22-33), K. Pritchard (5-22)",M. Cheeks,22,33,55,1
POR,POR,2004,M. Cheeks (41-41),M. Cheeks,41,41,82,1
POR,POR,2003,M. Cheeks (50-32),M. Cheeks,50,32,82,1
POR,POR,2002,M. Cheeks (49-33),M. Cheeks,49,33,82,1
POR,POR,2001,M. Dunleavy (50-32),M. Dunleavy,50,32,82,1
SAC,SAC,2017,D. Joerger (32-50),D. Joerger,32,50,82,1
SAC,SAC,2016,G. Karl (33-49),G. Karl,33,49,82,1
SAC,SAC,2015,"M. Malone (11-13), T. Corbin (7-21), G. Karl (11-19)",G. Karl,11,19,30,3
