slug,coach,franchise,seasons,games,wins,losses,min_year,max_year,left_truncated,ending
popovich|01|17|SAS,G. Popovich,SAS,17,1378,987,391,2001,2017,True,
westphal|01|01|SEAOKC,P. Westphal,SEAOKC,1,15,6,9,2001,2001,True,fired
mcmillan|01|05|SEAOKC,N. McMillan,SEAOKC,5,395,212,183,2001,2005,False,contract expired
weiss|06|06|SEAOKC,B. Weiss,SEAOKC,1,30,13,17,2006,2006,False,fired
hill|06|07|SEAOKC,B. Hill,SEAOKC,2,134,53,81,2006,2007,False,fired
carlesimo|08|09|SEAOKC,P. Carlesimo,SEAOKC,2,95,21,74,2008,2009,False,fired
brooks|09|15|SEAOKC,S. Brooks,SEAOKC,7,545,338,207,2009,2015,False,fired
donovan|16|17|SEAOKC,B. Donovan,SEAOKC,2,164,102,62,2016,2017,False,
wilkens|01|03|TOR,L. Wilkens,TOR,3,246,113,133,2001,2003,True,fired
o'neill|04|04|TOR,K. O'Neill,TOR,1,82,33,49,2004,2004,False,fired
mitchell|05|09|TOR,S. Mitchell,TOR,5,345,156,189,2005,2009,False,fired
triano|09|11|TOR,J. Triano,TOR,3,229,87,142,2009,2011,False,contract expired
casey|12|17|TOR,D. Casey,TOR,6,476,261,215,2012,2017,False,
sloan|01|11|UTA,J. Sloan,UTA,11,874,490,384,2001,2011,True,resigned
corbin|11|14|UTA,T. Corbin,UTA,4,258,112,146,2011,2014,False,fired
snyder|15|17|UTA,Q. Snyder,UTA,3,246,129,117,2015,2017,False,
lowe|01|03|VANMEM,S. Lowe,VANMEM,3,172,46,126,2001,2003,True,resigned
brown|03|05|VANMEM,H. Brown,VANMEM,3,168,83,85,2003,2005,False,retired
hollins|05|05|VANMEM,L. Hollins,VANMEM,1,4,0,4,2005,2005,False,interim only
fratello|05|07|VANMEM,M. Fratello,VANMEM,3,178,95,83,2005,2007,False,fired
barone|07|07|VANMEM,T. Barone,VANMEM,1,52,16,36,2007,2007,False,interim only
iavaroni|08|09|VANMEM,M. Iavaroni,VANMEM,2,123,33,90,2008,2009,False,fired
davis|09|09|VANMEM,J. Davis,VANMEM,1,2,0,2,2009,2009,False,interim only
hollins|09|13|VANMEM,L. Hollins,VANMEM,5,351,196,155,2009,2013,False,fired
joerger|14|16|VANMEM,D. Joerger,VANMEM,3,246,147,99,2014,2016,False,fired
fizdale|17|17|VANMEM,D. Fizdale,VANMEM,1,82,43,39,2017,2017,False,
hamilton|01|01|WAS,L. Hamilton,WAS,1,82,19,63,2001,2001,True,resigned
collins|02|03|WAS,D. Collins,WAS,2,164,74,90,2002,2003,False,fired
jordan|04|09|WAS,E. Jordan,WAS,6,421,197,224,2004,2009,False,fired
tapscott|09|09|WAS,E. Tapscott,WAS,1,71,18,53,2009,2009,False,fired
saunders|10|12|WAS,F. Saunders,WAS,3,181,51,130,2010,2012,False,fired
wittman|12|16|WAS,R. Wittman,WAS,5,377,178,199,2012,2016,False,fired
brooks|17|17|WAS,S. Brooks,WAS,1,82,49,33,2017,2017,False,
