team,year,coaches_text,name,wins,losses,total_games,order,correct_order
notre-dame,2004,"Tyrone Willingham (6-5), Kent Baer (0-1)",Kent Baer,0,1,1,2,
notre-dame,2004,"Tyrone Willingham (6-5), Kent Baer (0-1)",Tyrone Willingham,6,5,11,1,
notre-dame,2003,Tyrone Willingham (5-7),Tyrone Willingham,5,7,12,1,
notre-dame,2002,Tyrone Willingham (10-3),Tyrone Willingham,10,3,13,1,
notre-dame,2001,Bob Davie (5-6),Bob Davie,5,6,11,1,
notre-dame,2000,Bob Davie (9-3),Bob Davie,9,3,12,1,
ohio-state,2016,Urban Meyer (11-2),Urban Meyer,11,2,13,1,
ohio-state,2015,Urban Meyer (12-1),Urban Meyer,12,1,13,1,
ohio-state,2014,Urban Meyer (14-1),Urban Meyer,14,1,15,1,
ohio-state,2013,Urban Meyer (12-2),Urban Meyer,12,2,14,1,
ohio-state,2012,Urban Meyer (12-0),Urban Meyer,12,0,12,1,
ohio-state,2011,Luke Fickell (6-7),Luke Fickell,6,7,13,1,
ohio-state,2010,Jim Tressel (12-1),Jim Tressel,12,1,13,1,
ohio-state,2009,Jim Tressel (11-2),Jim Tressel,11,2,13,1,
ohio-state,2008,Jim Tressel (10-3),Jim Tressel,10,3,13,1,
ohio-state,2007,Jim Tressel (11-2),Jim Tressel,11,2,13,1,
ohio-state,2006,Jim Tressel (12-1),Jim Tressel,12,1,13,1,
ohio-state,2005,Jim Tressel (10-2),Jim Tressel,10,2,12,1,
ohio-state,2004,Jim Tressel (8-4),Jim Tressel,8,4,12,1,
ohio-state,2003,Jim Tressel (11-2),Jim Tressel,11,2,13,1,
ohio-state,2002,Jim Tressel (14-0),Jim Tressel,14,0,14,1,
ohio-state,2001,Jim Tressel (7-5),Jim Tressel,7,5,12,1,
ohio-state,2000,John Cooper (8-4),John Cooper,8,4,12,1,
oklahoma,2016,Bob Stoops (11-2),Bob Stoops,11,2,13,1,
oklahoma,2015,Bob Stoops (11-2),Bob Stoops,11,2,13,1,
oklahoma,2014,Bob Stoops (8-5),Bob Stoops,8,5,13,1,
oklahoma,2013,Bob Stoops (11-2),Bob Stoops,11,2,13,1,
oklahoma,2012,Bob Stoops (10-3),Bob Stoops,10,3,13,1,
oklahoma,2011,Bob Stoops (10-3),Bob Stoops,10,3,13,1,
oklahoma,2010,Bob Stoops (12-2),Bob Stoops,12,2,14,1,
oklahoma,2009,Bob Stoops (8-5),Bob Stoops,8,5,13,1,
oklahoma,2008,Bob Stoops (12-2),Bob Stoops,12,2,14,1,
oklahoma,2007,Bob Stoops (11-3),Bob Stoops,11,3,14,1,
oklahoma,2006,Bob Stoops (11-3),Bob Stoops,11,3,14,1,
oklahoma,2005,Bob Stoops (8-4),Bob Stoops,8,4,12,1,
oklahoma,2004,Bob Stoops (12-1),Bob Stoops,12,1,13,1,
oklahoma,2003,Bob Stoops (12-2),Bob Stoops,12,2,14,1,
oklahoma,2002,Bob Stoops (12-2),Bob Stoops,12,2,14,1,
oklahoma,2001,Bob Stoops (11-2),Bob Stoops,11,2,13,1,
oklahoma,2000,Bob Stoops (13-0),Bob Stoops,13,0,13,1,
oklahoma-state,2016,Mike Gundy (10-3),Mike Gundy,10,3,13,1,
oklahoma-state,2015,Mike Gundy (10-3),Mike Gundy,10,3,13,1,
oklahoma-state,2014,Mike Gundy (7-6),Mike Gundy,7,6,13,1,
oklahoma-state,2013,Mike Gundy (10-3),Mike Gundy,10,3,13,1,
oklahoma-state,2012,Mike Gundy (8-5),Mike Gundy,8,5,13,1,
oklahoma-state,2011,Mike Gundy (12-1),Mike Gundy,12,1,13,1,
oklahoma-state,2010,Mike Gundy (11-2),Mike Gundy,11,2,13,1,
oklahoma-state,2009,Mike Gundy (9-4),Mike Gundy,9,4,13,1,
oklahoma-state,2008,Mike Gundy (9-4),Mike Gundy,9,4,13,1,
oklahoma-state,2007,Mike Gundy (7-6),Mike Gundy,7,6,13,1,
oklahoma-state,2006,Mike Gundy (7-6),Mike Gundy,7,6,13,1,
oklahoma-state,2005,Mike Gundy (4-7),Mike Gundy,4,7,11,1,
oklahoma-state,2004,Les Miles (7-5),Les Miles,7,5,12,1,
oklahoma-state,2003,Les Miles (9-4),Les Miles,9,4,13,1,
oklahoma-state,2002,Les Miles (8-5),Les Miles,8,5,13,1,
oklahoma-state,2001,Les Miles (4-7),Les Miles,4,7,11,1,
oklahoma-state,2000,Bob Simmons (3-8),Bob Simmons,3,8,11,1,
mississippi,2016,Hugh Freeze (5-7),Hugh Freeze,5,7,12,1,
