franchise,team,year,coaches_text
PHI,PHI,2002,L. Brown (43-39)
PHI,PHI,2001,L. Brown (56-26)
PHI,PHI,2000,L. Brown (49-33)
PHI,PHI,1999,L. Brown (28-22)
PHI,PHI,1998,L. Brown (31-51)
PHI,PHI,1997,J. Davis (22-60)
PHI,PHI,1996,J. Lucas (18-64)
PHI,PHI,1995,J. Lucas (24-58)
PHI,PHI,1994,F. Carter (25-57)
PHI,PHI,1993,"D. Moe (19-37), F. Carter (7-19)"
PHI,PHI,1992,J. Lynam (35-47)
PHI,PHI,1991,J. Lynam (44-38)
PHI,PHI,1990,J. Lynam (53-29)
PHI,PHI,1989,J. Lynam (46-36)
PHI,PHI,1988,"M. Guokas (20-23), J. Lynam (16-23)"
PHI,PHI,1987,M. Guokas (45-37)
PHI,PHI,1986,M. Guokas (54-28)
PHI,PHI,1985,B. Cunningham (58-24)
PHI,PHI,1984,B. Cunningham (52-30)
PHI,PHI,1983,B. Cunningham (65-17)
PHI,PHI,1982,B. Cunningham (58-24)
PHI,PHI,1981,B. Cunningham (62-20)
PHI,PHI,1980,B. Cunningham (59-23)
PHI,PHI,1979,B. Cunningham (47-35)
PHI,PHI,1978,"G. Shue (2-4), B. Cunningham (53-23)"
PHI,PHI,1977,G. Shue (50-32)
PHI,PHI,1976,G. Shue (46-36)
PHI,PHI,1975,G. Shue (34-48)
PHI,PHI,1974,G. Shue (25-57)
PHI,PHI,1973,"R. Rubin (4-47), K. Loughery (5-26)"
PHI,PHI,1972,J. Ramsay (30-52)
PHI,PHI,1971,J. Ramsay (47-35)
PHI,PHI,1970,J. Ramsay (42-40)
PHI,PHI,1969,J. Ramsay (55-27)
PHI,PHI,1968,A. Hannum (62-20)
PHI,PHI,1967,A. Hannum (68-13)
PHI,PHI,1966,D. Schayes (55-25)
PHI,PHI,1965,D. Schayes (40-40)
PHI,PHI,1964,D. Schayes (34-46)
PHI,PHI,1963,A. Hannum (48-32)
PHI,PHI,1962,A. Hannum (41-39)
PHI,PHI,1961,A. Hannum (38-41)
PHI,PHI,1960,P. Seymour (45-30)
PHI,PHI,1959,P. Seymour (35-37)
PHI,PHI,1958,P. Seymour (41-31)
PHI,PHI,1957,"A. Cervi (4-8), P. Seymour (34-26)"
PHI,PHI,1956,A. Cervi (35-37)
PHI,PHI,1955,A. Cervi (43-29)
PHI,PHI,1954,A. Cervi (42-30)
PHI,PHI,1953,A. Cervi (47-24)
PHI,PHI,1952,A. Cervi (40-26)
PHI,PHI,1951,A. Cervi (32-34)
PHI,PHI,1950,A. Cervi (51-13)
PHO,PHO,2018,"E. Watson (0-3), J. Triano (4-5)"
PHO,PHO,2017,E. Watson (24-58)
PHO,PHO,2016,"J. Hornacek (14-35), E. Watson (9-24)"
PHO,PHO,2015,J. Hornacek (39-43)
PHO,PHO,2014,J. Hornacek (48-34)
PHO,PHO,2013,"A. Gentry (13-28), L. Hunter (12-29)"
PHO,PHO,2012,A. Gentry (33-33)
PHO,PHO,2011,A. Gentry (40-42)
PHO,PHO,2010,A. Gentry (54-28)
PHO,PHO,2009,"T. Porter (28-23), A. Gentry (18-13)"
PHO,PHO,2008,M. D'Antoni (55-27)
PHO,PHO,2007,M. D'Antoni (61-21)
PHO,PHO,2006,M. D'Antoni (54-28)
PHO,PHO,2005,M. D'Antoni (62-20)
PHO,PHO,2004,"F. Johnson (8-13), M. D'Antoni (21-40)"
PHO,PHO,2003,F. Johnson (44-38)
PHO,PHO,2002,"S. Skiles (25-26), F. Johnson (11-20)"
PHO,PHO,2001,S. Skiles (51-31)
PHO,PHO,2000,"D. Ainge (13-7), S. Skiles (40-22)"
PHO,PHO,1999,D. Ainge (27-23)
PHO,PHO,1998,D. Ainge (56-26)
PHO,PHO,1997,"C. Fitzsimmons (0-8), D. Ainge (40-34)"
PHO,PHO,1996,"P. Westphal (14-19), C. Fitzsimmons (27-22)"
PHO,PHO,1995,P. Westphal (59-23)
PHO,PHO,1994,P. Westphal (56-26)
PHO,PHO,1993,P. Westphal (62-20)
PHO,PHO,1992,C. Fitzsimmons (53-29)
PHO,PHO,1991,C. Fitzsimmons (55-27)
PHO,PHO,1990,C. Fitzsimmons (54-28)
PHO,PHO,1989,C. Fitzsimmons (55-27)
PHO,PHO,1988,J. Wetzel (28-54)
PHO,PHO,1987,"J. MacLeod (22-34), D. Van Arsdale (14-12)"
PHO,PHO,1986,J. MacLeod (32-50)
PHO,PHO,1985,J. MacLeod (36-46)
PHO,PHO,1984,J. MacLeod (41-41)
PHO,PHO,1983,J. MacLeod (53-29)
PHO,PHO,1982,J. MacLeod (46-36)
PHO,PHO,1981,J. MacLeod (57-25)
PHO,PHO,1980,J. MacLeod (55-27)
PHO,PHO,1979,J. MacLeod (50-32)
PHO,PHO,1978,J. MacLeod (49-33)
PHO,PHO,1977,J. MacLeod (34-48)
PHO,PHO,1976,J. MacLeod (42-40)
PHO,PHO,1975,J. MacLeod (32-50)
PHO,PHO,1974,J. MacLeod (30-52)
PHO,PHO,1973,"B. Van Breda Kolff (3-4), J. Colangelo (35-40)"
PHO,PHO,1972,C. Fitzsimmons (49-33)
PHO,PHO,1971,C. Fitzsimmons (48-34)
PHO,PHO,1970,"R. Kerr (15-23), J. Colangelo (24-20)"
PHO,PHO,1969,R. Kerr (16-66)
POR,POR,2018,T. Stotts (6-5)
POR,POR,2017,T. Stotts (41-41)
POR,POR,2016,T. Stotts (44-38)
POR,POR,2015,T. Stotts (51-31)
POR,POR,2014,T. Stotts (54-28)
POR,POR,2013,T. Stotts (33-49)
POR,POR,2012,"N. McMillan (20-23), K. Canales (8-15)"
POR,POR,2011,N. McMillan (48-34)
POR,POR,2010,N. McMillan (50-32)
POR,POR,2009,N. McMillan (54-28)
POR,POR,2008,N. McMillan (41-41)
POR,POR,2007,N. McMillan (32-50)
POR,POR,2006,N. McMillan (21-61)
POR,POR,2005,"M. Cheeks (22-33), K. Pritchard (5-22)"
POR,POR,2004,M. Cheeks (41-41)
POR,POR,2003,M. Cheeks (50-32)
POR,POR,2002,M. Cheeks (49-33)
POR,POR,2001,M. Dunleavy (50-32)
POR,POR,2000,M. Dunleavy (59-23)
POR,POR,1999,M. Dunleavy (35-15)
POR,POR,1998,M. Dunleavy (46-36)
POR,POR,1997,P. Carlesimo (49-33)
POR,POR,1996,P. Carlesimo (44-38)
POR,POR,1995,P. Carlesimo (44-38)
POR,POR,1994,R. Adelman (47-35)
POR,POR,1993,R. Adelman (51-31)
POR,POR,1992,R. Adelman (57-25)
POR,POR,1991,R. Adelman (63-19)
POR,POR,1990,R. Adelman (59-23)
POR,POR,1989,"M. Schuler (25-22), R. Adelman (14-21)"
POR,POR,1988,M. Schuler (53-29)
POR,POR,1987,M. Schuler (49-33)
POR,POR,1986,J. Ramsay (40-42)
POR,POR,1985,J. Ramsay (42-40)
POR,POR,1984,J. Ramsay (48-34)
POR,POR,1983,J. Ramsay (46-36)
POR,POR,1982,J. Ramsay (42-40)
POR,POR,1981,J. Ramsay (45-37)
POR,POR,1980,J. Ramsay (38-44)
POR,POR,1979,J. Ramsay (45-37)
POR,POR,1978,J. Ramsay (58-24)
POR,POR,1977,J. Ramsay (49-33)
POR,POR,1976,L. Wilkens (37-45)
POR,POR,1975,L. Wilkens (38-44)
POR,POR,1974,J. McCloskey (27-55)
POR,POR,1973,J. McCloskey (21-61)
POR,POR,1972,"R. Todd (12-44), S. Inman (6-20)"
POR,POR,1971,R. Todd (29-53)
SAC,SAC,2018,D. Joerger (3-8)
SAC,SAC,2017,D. Joerger (32-50)
SAC,SAC,2016,G. Karl (33-49)
SAC,SAC,2015,"M. Malone (11-13), T. Corbin (7-21), G. Karl (11-19)"
SAC,SAC,2014,M. Malone (28-54)
SAC,SAC,2013,K. Smart (28-54)
SAC,SAC,2012,"P. Westphal (2-5), K. Smart (20-39)"
SAC,SAC,2011,P. Westphal (24-58)
SAC,SAC,2010,P. Westphal (25-57)
SAC,SAC,2009,"R. Theus (6-18), K. Natt (11-47)"
SAC,SAC,2008,R. Theus (38-44)
SAC,SAC,2007,E. Musselman (33-49)
SAC,SAC,2006,R. Adelman (44-38)
SAC,SAC,2005,R. Adelman (50-32)
SAC,SAC,2004,R. Adelman (55-27)
SAC,SAC,2003,R. Adelman (59-23)
SAC,SAC,2002,R. Adelman (61-21)
SAC,SAC,2001,R. Adelman (55-27)
SAC,SAC,2000,R. Adelman (44-38)
SAC,SAC,1999,R. Adelman (27-23)
SAC,SAC,1998,E. Jordan (27-55)
SAC,SAC,1997,"G. St. Jean (28-39), E. Jordan (6-9)"
SAC,SAC,1996,G. St. Jean (39-43)
SAC,SAC,1995,G. St. Jean (39-43)
SAC,SAC,1994,G. St. Jean (28-54)
SAC,SAC,1993,G. St. Jean (25-57)
SAC,SAC,1992,"D. Motta (7-18), R. Hughes (22-35)"
SAC,SAC,1991,D. Motta (25-57)
SAC,SAC,1990,"J. Reynolds (7-21), D. Motta (16-38)"
SAC,SAC,1989,J. Reynolds (27-55)
SAC,SAC,1988,"B. Russell (17-41), J. Reynolds (7-17)"
SAC,SAC,1987,"P. Johnson (14-32), J. Reynolds (15-21)"
SAC,SAC,1986,P. Johnson (37-45)
SAC,SAC,1985,"J. McKinney (1-8), P. Johnson (30-43)"
SAC,SAC,1984,C. Fitzsimmons (38-44)
SAC,SAC,1983,C. Fitzsimmons (45-37)
SAC,SAC,1982,C. Fitzsimmons (30-52)
SAC,SAC,1981,C. Fitzsimmons (40-42)
SAC,SAC,1980,C. Fitzsimmons (47-35)
SAC,SAC,1979,C. Fitzsimmons (48-34)
SAC,SAC,1978,"P. Johnson (13-24), L. Staverman (18-27)"
SAC,SAC,1977,P. Johnson (40-42)
SAC,SAC,1976,P. Johnson (31-51)
SAC,SAC,1975,P. Johnson (44-38)
SAC,SAC,1974,"B. Cousy (6-14), D. Young (0-4), P. Johnson (27-31)"
SAC,SAC,1973,B. Cousy (36-46)
SAC,SAC,1972,B. Cousy (30-52)
SAC,SAC,1971,B. Cousy (33-49)
SAC,SAC,1970,B. Cousy (36-46)
SAC,SAC,1969,E. Jucker (41-41)
SAC,SAC,1968,E. Jucker (39-43)
SAC,SAC,1967,J. McMahon (39-42)
SAC,SAC,1966,J. McMahon (45-35)
SAC,SAC,1965,J. McMahon (48-32)
SAC,SAC,1964,J. McMahon (55-25)
SAC,SAC,1963,C. Wolf (42-38)
SAC,SAC,1962,C. Wolf (43-37)
SAC,SAC,1961,C. Wolf (33-46)
SAC,SAC,1960,T. Marshall (19-56)
SAC,SAC,1959,"B. Wanzer (3-15), T. Marshall (16-38)"
SAC,SAC,1958,B. Wanzer (33-39)
SAC,SAC,1957,B. Wanzer (31-41)
SAC,SAC,1956,B. Wanzer (31-41)
SAC,SAC,1955,L. Harrison (29-43)
